Time(us),Value
19,-5
19,-6
19,-7
19,-8
19,-9
11,0.841471
11,0.841471
11,0.841471
11,0.841471
11,0.841471
11,0.841471
11,0.841471
11,0.841471
11,0.841471
11,0.841471
746,2
759,1
773,0
776,-1
770,-2
777,-3
1140,-4
770,-5
778,-6
774,-7
9,1
8,1
8,1
8,1
8,1
8,1
8,1
8,1
8,1
8,1
346,0
345,0
349,0
344,0
347,0
346,0
344,0
344,0
346,0
344,0
215,0
223,0
221,0
221,0
221,0
235,0
221,0
222,0
222,0
201,0
9,1
8,2
8,3
8,4
8,5
8,6
8,7
8,8
8,9
8,10
112,0
112,0
112,0
111,0
111,0
112,0
111,0
111,0
111,0
111,0
8,1
8,1
8,1
8,1
8,1
8,1
8,1
8,1
8,1
8,1
8,1
8,1
8,1
8,1
8,1
8,1
8,1
8,1
8,1
8,1
3931,0.745624
3918,3.15629
3918,1.26587
3909,-10.9856
3915,-20.4644
3908,-9.92858
3928,29.9259
3927,53.4831
3910,32.4447
3919,-51.7581
38,-0
37,-0
37,-0
37,0
37,0
37,0
37,-0
37,-0
37,-0
38,0
11,0.841471
11,0.841471
11,0.841471
11,0.841471
11,0.841471
11,0.841471
11,0.841471
11,0.841471
11,0.841471
11,0.841471
17,0.909297
16,-0.756802
17,-0.279415
17,0.989358
16,-0.544021
16,-0.536573
16,0.990607
16,-0.287903
16,-0.750987
16,0.912945
75,4
74,10
75,18
74,28
78,40
75,54
74,70
74,88
74,108
74,130
23,0
23,-1
23,-2
23,-3
23,-4
23,-5
23,-6
23,-7
23,-8
23,-9
8,1
8,1
8,1
8,1
9,1
8,1
8,1
8,1
8,1
8,1
1061,-1
1051,-2
1050,-3
1049,-4
1051,-5
1050,-6
1051,-7
1054,-8
1054,-9
1056,0
465,0
462,0
464,0
466,0
463,0
461,0
463,0
463,0
469,0
462,0
126,1
124,1
126,-1.25792
124,1
125,1
124,14.6914
124,1
125,1
124,-40.2118
125,1
557,0
580,0
579,0
581,0
582,0
581,0
582,0
586,0
592,0
585,0
20,1.68294
20,1.81859
